Rank,Name,Country,Innings played,Match by Match runs scored ,Average Runs
1,Travis Head,Australia,32,"2,26,45,9',31,4,30,9,48',6,15,20',7,48,19,26,6,18,91,35,31,28,24,45,33,12,34,34',68,31,0,76",32.53
2,Suryakumar Yadav,India,65,"57,32,50,11,6',25',62,1,0,34',8,65,0,15,39,15,117,24,11,76,24,18,68',13,34,6,46,0,69,50',61,8,15,51',68,30,61',14,111',13,7,51,112',47,26',24,21,1,83,61,80,19,39,1,5,56,100,2,7,50',53,6,31,47,3",43.33
3,Phil Salt,England,29,"57,0,3,8,10,30,8,8,3,88',20,10,38,25,0,40,25,109',119,38,13,45,37,12,11,87',11,25',5",35.4
4,Babar Azam,Pakistan,116,"15',55',19,27',29,27,43,38,86,45,48,1,1,34',41,50',18,17,97',51,68',45,50,7,40,79,38,90,23,65,13,3,27,59',50,6,0,66',56,21,82,51,0,5,44,14,50,122,24,2,41,52,85,22,11,51,68',9,51,70,66,39,7,1,19,0,7,79,66,10,9,14,0,30,5,31,110',8,36,9,87',4,22,79',21,55,15,0,4,4,6,25,53,32,9,101',1,19,57,66,58,19,13,14,37,5,69,57,0,75,32,36,44,13,33,32'",41.03
5,Mohammad Rizwan,Pakistan,89,"6,17,33',16,6,24,4,2,1',26,31,14,0,5',0',17,22,89,104',51,42,74',0,73',0,82',13,91',63,37,76',46,79',33,8,79',15,67,11,39,40,78,38,87,23,43,78',71',20,14,55,68,88',8,88,63,1,78',4,16,69,34,4,14,49,4,32,57,15,8,50,6,98',25,7,24,90',38,45',22',1,75',56,0,23,9,31,53',17",48.72
6,Yashasvi Jaiswal,India,19,"1,84',5,24,18,100,0,21,53,6,37,21,0,60,68,4,36,93',12",37.82
7,Jos Butler,England,114,"13,3,7,7,0',6,32',15,11,1',5',8,33',15',32',54,17,27,0,20,22,8,0,67,3,32,2,34,6,26,10,11,33,2,32',54,30,21,6,66',32',36,73',16,15,0,10,31,30,5,46,2,2,61,69,14,34,13,15,2,57,44,77',7,22,67',28,0,83',9,52,68',59,21,24',18,71',101',26,29,0,4,18,22,29,14,68,17,65',18,0,73,28,80',28,67,4,40,13',40,39,5,51,55,11,84,39,42,24',0,25,17,83',23",35.87
8,Ruturaj Gaikwad,India,20,"21,14,4,23,1,57,5,10,19',58,25,40',0,58,123',32,10,7,77',49",39.56
9,Brandon King,West Indies,53,"4,12,1,31,5,33,43,13,0,11,1,67,43,52',0,10,26,34,4,22,57,7,68,20,13,53,12,23,17,62',23,1,36,28,0,42,18,85',22,82',8,0,3,53,5,79,36,44,34,13,9,7,23'",29.06
10,Johnson Charles,West Indies,56,"36,21,24,37,24,36,16,84,12,8,10,0,57,26,10,1,0,16,7,4,0,34,0,10,32,22,52,1,79,43,7,10,5,3,29,45,24,28,118,0,3,2,12,27,42,24,4,1,7,69,0,44,0,43,38,15",23.25
11,Aiden Markram,South Africa,44,"3,15,51,54,63,11,23,20,70,39,8,48,21',40,51',19,0,52',51',56,27,25,33,10,52,20,17,14,38',35',7,49,41,30,25,12,0,4,15,46,1,18,23',4",33.54
12,Nicholas Pooran,West Indies,87,"5,4,16,4,53',23',14,29,58,1,11,20,19,17,38',0,26,1',14,1,7,0,8,23,9,26,16,20,17,32',16,31,13,62',1,12,40,46,4,18,26,64,27',24,70,22,21,61,62,61,34,74',18,14,22,24,3,15,1,2,2,5,7,13,16,2,41,41,67,20,1,47,13,5,82,39,10,18,18,1,27,22,17,98,36,27',1",26.61
13,Rahmanullah Gurbaz,Afghanistan,63,"43,0,61,29,0,15,79,28,35,42,87,9,18,46,10,4,19,6,0,3,33,1,26,1,53,24,4,40,11,84,17,0,10,28,30,10,15,20,16,44,18,16,8,100,21,20,23,14,50,13,13,70,0,3,6,76,80,11,0,11,60,43,0",26.3
14,Quinton De Kock,South Africa,91,"28',0',2,5,19,16,48',30,43,26,41',41,25,4,0,29,6,46,0,48,12,44,7,44,25,52,45,47,9,0,59,20,5,26,22,13,52,79',31,65,35,2,70,5,30,30,17,37,26,72,60,60,20,27,36,58',59',7,12,16,34,22,14,2,15,0,7,7,1,69',68,47',63,0,13,0,100,21,4,41,19,20,0,18,10,74,65,12,5,39",31.51
15,Jonny Bairstow,England,72,"4,2',22',60',3,15,4,12,1,18,5',2,38,8,1,60',47,27,14',0,28,25,68,12,37,35,0,8,47,23,35,64,2,44,0,8,9,55,86',3,26',20,40',25,7,13',0,51,11,13,5,9,8',16',0,1,13,90,30,27,4,86',12,73,21,28',7,8',31,48',16,0",29.83
16,Reeza Hendricks,South Africa,67,"0,18,49,12,42,41,3,7,0,70,26,7,19,19,74,28,5,8,65,66,6,28,14,16,13,54,42,2,17,42,17,2,69,38,18,56',39,11,4,2,4,23,57,53,70,74,42,21,68,83,56,3,42,49,8,87,34,6,4,3,0,43,11,19,0,29',4",29.87
17,Glenn Phillips,New Zealand,69,"5,11,56,10,7',3,5,12,5,26,22,108,23,31,30,8,13,1,34',24',58',14,13,33,39',2,18,0,34,0,69',23,56',23,14,17,76,41,18,23',60,29,12,104,62,17,6,12,54,17,5,2,41,22,69,42,0,9',1,19,13,19,70',26,19',42,40',18,40",32.89
18,Mitchell Marsh,Australia,59,"36,0',13,13,35,2',4',24,6,21,21,19,6,19,39',45,0,6',6,10,51,54,9,75,30,45,45,51,11,4,11,16',53,28,77',11,3,36,45,0,16,17,28,45,92',79',15,16,29,17,72',26,14,35,18',8,1,12,37",32.43
19,Finn Allen,New Zealand,47,"0,17,71,15,12,41,1,35,14,101,6,8,13,13,16,62,32,12,42,1,16,32,4,0,3,35,11,3,21,3,83,16,1,2,38,34,74,137,8,22,32,6,13,0,26,9,0",24.27
20,Rilee Rossouw,South Africa,27,"78,12,4,51',15,0,31',19',38,26,18,19,16,0,4,96',31,0,0,100',109,0,7,25,10,16,42",34.86
