Player No.,Name,Runs
1,Travis Head,2
1,Travis Head,26
1,Travis Head,45
1,Travis Head,31
1,Travis Head,4
1,Travis Head,30
1,Travis Head,9
1,Travis Head,6
1,Travis Head,15
1,Travis Head,7
1,Travis Head,48
1,Travis Head,19
1,Travis Head,26
1,Travis Head,6
1,Travis Head,18
1,Travis Head,91
1,Travis Head,35
1,Travis Head,31
1,Travis Head,28
1,Travis Head,24
1,Travis Head,45
1,Travis Head,33
1,Travis Head,12
1,Travis Head,34
1,Travis Head,68
1,Travis Head,31
1,Travis Head,0
1,Travis Head,76
2,Suryakumar Yadav,57
2,Suryakumar Yadav,32
2,Suryakumar Yadav,50
2,Suryakumar Yadav,11
2,Suryakumar Yadav,62
2,Suryakumar Yadav,1
2,Suryakumar Yadav,0
2,Suryakumar Yadav,8
2,Suryakumar Yadav,65
2,Suryakumar Yadav,0
2,Suryakumar Yadav,15
2,Suryakumar Yadav,39
2,Suryakumar Yadav,15
2,Suryakumar Yadav,117
2,Suryakumar Yadav,24
2,Suryakumar Yadav,11
2,Suryakumar Yadav,76
2,Suryakumar Yadav,24
2,Suryakumar Yadav,18
2,Suryakumar Yadav,13
2,Suryakumar Yadav,34
2,Suryakumar Yadav,6
2,Suryakumar Yadav,46
2,Suryakumar Yadav,0
2,Suryakumar Yadav,69
2,Suryakumar Yadav,61
2,Suryakumar Yadav,8
2,Suryakumar Yadav,15
2,Suryakumar Yadav,68
2,Suryakumar Yadav,30
2,Suryakumar Yadav,14
2,Suryakumar Yadav,13
2,Suryakumar Yadav,7
2,Suryakumar Yadav,51
2,Suryakumar Yadav,47
2,Suryakumar Yadav,24
2,Suryakumar Yadav,21
2,Suryakumar Yadav,1
2,Suryakumar Yadav,83
2,Suryakumar Yadav,61
2,Suryakumar Yadav,80
2,Suryakumar Yadav,19
2,Suryakumar Yadav,39
2,Suryakumar Yadav,1
2,Suryakumar Yadav,5
2,Suryakumar Yadav,56
2,Suryakumar Yadav,100
2,Suryakumar Yadav,2
2,Suryakumar Yadav,7
2,Suryakumar Yadav,53
2,Suryakumar Yadav,6
2,Suryakumar Yadav,31
2,Suryakumar Yadav,47
2,Suryakumar Yadav,3
3,Phil Salt,57
3,Phil Salt,0
3,Phil Salt,3
3,Phil Salt,8
3,Phil Salt,10
3,Phil Salt,30
3,Phil Salt,8
3,Phil Salt,8
3,Phil Salt,3
3,Phil Salt,20
3,Phil Salt,10
3,Phil Salt,38
3,Phil Salt,25
3,Phil Salt,0
3,Phil Salt,40
3,Phil Salt,25
3,Phil Salt,119
3,Phil Salt,38
3,Phil Salt,13
3,Phil Salt,45
3,Phil Salt,37
3,Phil Salt,12
3,Phil Salt,11
3,Phil Salt,11
3,Phil Salt,5
4,Babar Azam,19
4,Babar Azam,29
4,Babar Azam,27
4,Babar Azam,43
4,Babar Azam,38
4,Babar Azam,86
4,Babar Azam,45
4,Babar Azam,48
4,Babar Azam,1
4,Babar Azam,1
4,Babar Azam,41
4,Babar Azam,18
4,Babar Azam,17
4,Babar Azam,51
4,Babar Azam,45
4,Babar Azam,50
4,Babar Azam,7
4,Babar Azam,40
4,Babar Azam,79
4,Babar Azam,38
4,Babar Azam,90
4,Babar Azam,23
4,Babar Azam,65
4,Babar Azam,13
4,Babar Azam,3
4,Babar Azam,27
4,Babar Azam,50
4,Babar Azam,6
4,Babar Azam,0
4,Babar Azam,56
4,Babar Azam,21
4,Babar Azam,82
4,Babar Azam,51
4,Babar Azam,0
4,Babar Azam,5
4,Babar Azam,44
4,Babar Azam,14
4,Babar Azam,50
4,Babar Azam,122
4,Babar Azam,24
4,Babar Azam,2
4,Babar Azam,41
4,Babar Azam,52
4,Babar Azam,85
4,Babar Azam,22
4,Babar Azam,11
4,Babar Azam,51
4,Babar Azam,9
4,Babar Azam,51
4,Babar Azam,70
4,Babar Azam,66
4,Babar Azam,39
4,Babar Azam,7
4,Babar Azam,1
4,Babar Azam,19
4,Babar Azam,0
4,Babar Azam,7
4,Babar Azam,79
4,Babar Azam,66
4,Babar Azam,10
4,Babar Azam,9
4,Babar Azam,14
4,Babar Azam,0
4,Babar Azam,30
4,Babar Azam,5
4,Babar Azam,31
4,Babar Azam,8
4,Babar Azam,36
4,Babar Azam,9
4,Babar Azam,4
4,Babar Azam,22
4,Babar Azam,21
4,Babar Azam,55
4,Babar Azam,15
4,Babar Azam,0
4,Babar Azam,4
4,Babar Azam,4
4,Babar Azam,6
4,Babar Azam,25
4,Babar Azam,53
4,Babar Azam,32
4,Babar Azam,9
4,Babar Azam,1
4,Babar Azam,19
4,Babar Azam,57
4,Babar Azam,66
4,Babar Azam,58
4,Babar Azam,19
4,Babar Azam,13
4,Babar Azam,14
4,Babar Azam,37
4,Babar Azam,5
4,Babar Azam,69
4,Babar Azam,57
4,Babar Azam,0
